Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,470p,
"C10, C12, C7, C8",C_Elec_10x10.2,4,220u-50V,
"C11, C14, C16, C19",CP_Elec_8x10.5,4,47u-50V,
"C13, C18",C_Elec_10x10.2,2,1000u-25V,
"C15, C17, C9",0603,3,10n,
C3,0805,1,47p,
"C4, C5",CP_Elec_8x5.4,2,47u-10V-BP,
C6,0805,1,100n,
"D1, D2, D3, D4, D7",D_SMA_Handsoldering,5,FM4004W-W,
"D10, D14",0402,2,LED,
"D11, D13, D18, D19, D5, D6, D8, D9",D_SOD-123F,8,1N4148W,
"D15, D16",D_SOD-323,2,10V,
D17,D_SOD-323,1,18V,
F1,1206,1,Polyfuse,
"J1, J2",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
J3,Jack_XLR_Neutrik_NC3MBH-0_Horizontal,1,NC3MBH1,
J4,Jack_XLR_Neutrik_NC3MBH-1_Horizontal,1,NC3FBH1,
"JP1, JP2, JP3, JP4",SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,4,SolderJumper_3_Bridged12,
"L1, L2",0402,2,1.2μH,
"Q1, Q2",SOT-23-3,2,BC846BLT1G,
"R1, R2",0402,2,1k2-0.1%,
"R10, R7",0402,2,22k,
"R11, R12",0402,2,1.5k,
"R13, R27, R30, R9",0402,4,10k,
R25,0402,1,10R,
"R26, R29",0402,2,100R,
R28,0402,1,4k7,
"R3, R4",0402,2,10R-1W,
"R41, R42",0402,2,47R-1W,
"R5, R6",0402,2,6k8-0.1%-0.5W,
R8,0402,1,47k,
RV1,Potentiometer_Vishay_T73XW_Horizontal,1,PTN091-H11115DA,
U3,SOIC-8W_5.3x5.3mm_P1.27mm,1,1510S08-U,
